Sex,Age,Mother job,Father job,Travel time,Hosteller,Study time,subjects_failed,edu_support,Extra paid,Extracurricular,higher_edu,Internet,"Free time  after college (1 less, 5 more)","Going out with friends (1 less, 5 more)",Health,10(%),12(%),1st sem,2nd sem,3rd sem
Female,24,teacher,other,78,no,2,0,yes,yes,yes,yes,yes,3,4,3,69,76,70.86,68.67,68.35
Female,20,services,teacher,98,no,2,0,yes,no,no,yes,yes,2,4,2,88.48,79.66,77.14,72.93,65.53
Male,21,teacher,teacher,75,no,1,1,yes,yes,no,yes,yes,5,2,3,78,74,71.14,67.33,58.35
Female,23,health,other,65,no,2,0,yes,no,yes,yes,yes,3,5,2,90.5,65.3,67.43,67.07,66.24
Female,24,other,other,25,yes,2,0,yes,yes,yes,yes,no,4,3,4,92.33,83,79.86,73.87,62.47
Female,22,other,other,23,yes,2,0,yes,yes,no,yes,no,4,4,1,94,85,71.14,67.33,58.35
Female,21,other,other,54,yes,2,3,yes,no,no,yes,yes,3,2,3,79,62,29.57,50.4,46.94
Female,21,services,services,47,no,2,1,yes,yes,yes,yes,yes,3,5,5,83.84,81.67,78.14,49.33,60
Female,21,at_home,services,87,no,2,0,yes,yes,no,yes,yes,4,3,5,87.36,81.83,70.14,57.33,63.41
Male,22,services,other,41,no,1,0,yes,yes,no,yes,yes,3,3,4,73,75,69.57,57.6,61.06
Male,21,teacher,other,51,no,1,0,no,yes,yes,yes,yes,3,2,1,86,67,59.43,52,59.88
Male,22,at_home,other,47,no,2,0,yes,yes,no,yes,no,3,2,5,81.74,85.667,76,75.47,63.29
Male,22,teacher,other,100,no,1,0,yes,yes,yes,yes,yes,4,2,4,73,79,60.29,54.93,62
Female,22,other,other,0,no,1,0,yes,yes,yes,yes,yes,3,3,3,95.2,83,54.71,47.33,60.59
Male,21,services,other,105,no,1,0,yes,yes,no,yes,yes,3,5,3,89,75,62,55.87,58.59
Male,21,other,other,42,no,2,0,yes,yes,no,yes,yes,3,4,4,82.72,75.2,64.86,59.33,64.71
Female,22,services,other,57,no,2,0,yes,yes,yes,yes,yes,4,4,5,82.72,71.32,64.71,69.2,62.24
Male,22,services,other,40,no,2,0,yes,yes,no,yes,no,2,1,3,63.52,67.33,59.14,45.6,49.18
Female,22,other,other,60,no,2,0,no,yes,no,yes,yes,4,4,1,92,72,56.86,64.13,64.24
Female,22,other,other,154,no,1,0,no,yes,no,yes,yes,4,5,1,89.59,88.64,81,51.87,53.29
Female,21,services,health,42,no,4,1,yes,yes,no,yes,yes,2,4,4,68,62,84.57,76.8,74.71
Male,21,at_home,other,18,no,3,0,yes,yes,no,yes,no,3,3,3,94.4,80.33,75.43,67.47,64.35
Female,21,at_home,at_home,74,no,2,0,yes,yes,yes,yes,yes,3,3,4,84.64,76.16,58.37,53.07,66.47
Female,22,at_home,services,52,no,2,0,yes,no,yes,yes,yes,2,5,5,92,79,77.57,79.33,77.29
Female,21,at_home,other,40,no,1,0,yes,no,yes,yes,no,3,4,5,84,80,74.57,76.8,78.82
Female,21,services,teacher,62,no,3,0,no,no,no,yes,yes,3,1,3,93,91,75.29,79.41,73.65
Female,21,other,other,58,no,4,0,yes,yes,no,yes,yes,3,3,4,89.62,88.16,83.43,80.27,76.24
Female,22,teacher,services,70,no,2,0,yes,no,yes,yes,yes,3,2,5,89,83,81,77.2,62.94
Male,22,other,other,95,no,2,0,no,no,yes,yes,yes,3,3,4,92,76,64.86,60.53,58
Male,21,other,other,84,no,2,0,no,no,yes,yes,yes,3,4,3,84,78.16,71.14,70.27,69.06
Female,21,services,services,125,no,1,1,yes,yes,no,yes,yes,3,3,3,90.4,84.6,75,71.87,62.12
Female,21,at_home,other,4,no,2,0,yes,yes,yes,yes,yes,3,2,3,79.04,71.66,8,55.47,54.12
Female,22,other,other,47,no,2,0,no,no,yes,yes,yes,2,3,3,91,90,83.29,79.73,76.12
Male,21,health,other,49,no,2,0,no,no,yes,yes,yes,2,3,3,80,80,75.86,58.67,62.71
Female,21,other,other,65,no,1,0,yes,yes,yes,yes,yes,5,2,1,86.72,88.33,83.71,77.33,80
Female,22,teacher,teacher,22,no,3,0,yes,no,yes,yes,yes,5,5,2,85,74,18,63.6,56.12
Female,21,health,other,47,no,2,0,yes,yes,yes,yes,yes,2,4,1,79,69,74.14,6.34,63.65
Male,21,other,other,85,no,3,0,yes,yes,no,yes,yes,4,2,5,92.96,85.83,96.71,63.2,55.18
Female,21,at_home,other,41,no,2,0,no,no,yes,yes,yes,3,3,2,96.48,95.5,83.71,84,79.53
Male,23,other,other,0,yes,2,0,no,yes,yes,yes,yes,4,2,4,92,84,72.29,65.47,63.88
Female,22,other,other,0,yes,3,0,no,no,no,yes,yes,5,2,5,88.48,85.83,77.29,76.27,72.71
Female,22,at_home,services,5,no,2,0,no,no,yes,yes,no,1,1,3,87.68,75.5,70.29,58.8,60.12
Female,22,other,services,41,no,2,1,no,no,no,no,yes,5,4,2,71.52,68.67,76.86,70.4,70.82
Male,22,health,other,18,yes,2,0,no,no,yes,yes,yes,5,5,5,89,86,80.57,74.27,74.12
Female,22,teacher,other,45,yes,2,0,yes,yes,no,yes,yes,3,3,4,89.6,87.4,63.43,65.33,68.24
Female,21,teacher,other,75,no,3,0,no,no,yes,yes,yes,4,5,3,85,80,68.86,66.93,63.76
Female,21,services,services,89,no,2,0,no,no,yes,yes,yes,3,2,5,73.44,73.16,78.86,74.13,71.88
Female,21,other,other,53,no,2,0,yes,yes,no,yes,yes,4,4,3,83.04,77.33,79.57,69.47,72.35
Male,22,other,other,62,no,2,0,no,no,no,yes,yes,3,3,4,85.92,76.16,68.43,69.6,63.76
Male,21,other,other,60,no,2,0,no,no,no,yes,yes,2,2,2,96,74.3,76.43,69.2,63.88
Female,22,services,services,82,no,2,0,no,no,no,no,yes,4,5,1,90,80,68,61.2,57.88
Male,22,other,services,55,no,3,1,yes,no,no,yes,yes,3,3,5,72,72,71,66.53,4.12
Male,21,other,other,58,no,2,0,no,yes,no,yes,yes,3,2,5,88.48,79.83,77,69.73,54.59
Male,22,services,other,53,no,1,0,no,no,no,no,yes,4,5,5,77.12,67.63,72.43,64.13,61.76
Male,22,at_home,other,62,no,2,0,yes,no,no,yes,yes,3,3,2,84,76,58,50.4,53.76
Female,21,services,services,20,no,2,1,no,no,no,no,yes,2,5,5,70,69,71,66.53,4.12
Male,21,other,other,54,no,2,0,no,no,yes,yes,no,3,2,3,93.44,78,77.43,73.47,66.24
Female,21,other,other,10,no,2,0,no,no,no,yes,yes,4,2,5,87.8,80,78.14,70.67,66.94
Female,21,health,other,12,no,1,0,yes,no,yes,yes,yes,4,4,5,70.56,80.5,84.71,75.87,62.35
Female,22,teacher,services,15,no,1,0,yes,yes,yes,yes,yes,2,3,4,88,81,74.29,71.6,68.12
Female,21,services,at_home,24,no,3,0,yes,no,no,yes,yes,3,1,1,68,63,71.86,73.47,70.12
Male,21,other,other,32,yes,1,0,no,no,yes,yes,yes,2,4,4,78.88,67.6,70.29,66.4,72.71
Male,22,services,services,10,yes,1,0,no,yes,yes,yes,yes,4,1,2,91.03,84.3,71.29,58.53,61.18
Female,21,services,other,18,yes,1,1,yes,yes,no,yes,yes,1,2,2,79,65,75.57,60,57.53
Female,23,teacher,other,17,yes,2,0,yes,yes,no,yes,yes,3,2,3,95.04,80,77.71,65.2,62.47
Female,22,other,other,27,yes,1,0,no,no,yes,yes,no,3,2,3,87.68,84,84.57,80.8,80.24
Male,22,other,other,28,no,1,0,no,no,yes,yes,no,2,3,4,86.56,70,6.29,58.93,63.06
Female,22,at_home,services,42,no,2,0,yes,yes,yes,yes,yes,3,3,3,93.28,83.5,83.14,79.87,75.76
Male,21,other,other,23,no,1,2,yes,yes,yes,yes,yes,2,5,1,86,70,59,53.33,66
Female,21,services,other,26,no,1,1,no,yes,yes,yes,yes,4,4,5,84,78,51.14,11.87,45.88
Male,22,other,other,15,yes,4,0,yes,no,no,no,yes,3,5,3,78.5,79,63.42,68.13,74
Male,21,other,services,48,no,2,3,yes,yes,yes,yes,yes,3,5,5,82.56,65.83,79.28,48.8,62.29
Male,22,other,services,72,yes,2,0,yes,yes,yes,yes,yes,5,5,2,84.16,74,68.28,66,72.47
Male,22,other,other,12,no,4,0,yes,yes,no,yes,no,4,3,3,76.166,74.166,56.71,54,64.11
Male,23,at_home,at_home,14,no,2,1,yes,yes,yes,yes,no,5,2,1,84.64,72,51.85,56,65.17
Male,22,at_home,health,75,no,2,4,yes,yes,no,yes,yes,3,3,1,70,63,44.57,41.6,51.52
Male,21,services,other,24,yes,3,3,yes,yes,no,yes,yes,4,4,5,68.64,68.16,50.85,41.2,55.52
Male,21,other,services,26,yes,3,1,no,no,no,no,yes,1,1,5,85,73,42.71,46.4,52.58
Male,22,teacher,services,28,no,3,0,no,yes,yes,yes,yes,2,4,3,85.33,78.66,66.57,61.73,66.7
Male,21,health,health,20,no,2,0,yes,no,yes,yes,yes,4,4,4,85.12,70.83,70,63.6,69.64
Male,22,teacher,services,35,no,2,0,no,yes,yes,yes,yes,2,3,1,72.16,66.16,60.71,52.53,55.29
Female,21,services,other,58,yes,2,0,no,yes,yes,yes,yes,5,4,5,70.23,59.6,59.31,48,58.82
Female,22,teacher,services,54,yes,2,1,no,no,no,yes,yes,4,4,3,76.25,69.36,60.71,52.8,55.29
Male,21,at_home,other,75,yes,2,0,yes,yes,yes,yes,no,2,2,3,72,70,70.6,61.06,73.41
Male,21,other,other,86,no,2,0,no,no,yes,yes,yes,4,4,4,81.78,71,64.3,68.26,71.41
Male,21,other,other,12,no,4,0,yes,no,no,yes,yes,4,5,5,86,73.48,63.2,55.2,61.88
Female,21,other,other,13,no,2,0,no,yes,no,yes,yes,3,3,4,80.49,63,48.14,61.33,59.52
Female,21,at_home,at_home,42,yes,2,0,yes,yes,no,yes,yes,3,3,2,87.84,64.45,52.42,53.06,64.58
Male,21,services,teacher,25,no,2,0,yes,yes,no,yes,yes,3,3,3,86,73,66.14,64.4,65.41
Male,22,services,services,36,no,2,0,no,yes,yes,yes,yes,2,4,2,65,55,52.14,48.93,56.23
Male,21,teacher,teacher,35,no,2,0,yes,yes,yes,yes,yes,4,3,2,74,56,55.28,62.4,63.52
Male,21,teacher,other,34,yes,1,0,yes,yes,yes,yes,yes,3,2,5,85.44,65.33,57.42,54.4,59.52
Male,22,health,services,38,yes,2,3,yes,yes,no,yes,yes,2,2,3,75.52,69.16,55.85,52.66,58.58
Male,21,services,at_home,37,no,1,0,no,no,no,yes,yes,4,3,5,80.8,79.33,76.71,66.26,75.52
Male,21,services,other,42,no,1,0,yes,yes,no,yes,no,1,2,3,78,73,60,64.8,70.1
Male,22,services,other,40,no,1,0,yes,yes,yes,yes,yes,4,2,4,68.64,61.5,52.42,50,49.5
Male,22,health,other,10,no,4,0,yes,yes,no,yes,yes,4,3,5,80.64,83.16,68.14,66.66,74.11
Female,22,health,other,12,no,2,0,yes,yes,yes,yes,yes,3,4,2,89.12,77.83,78.57,77.06,75.88
Male,22,other,other,20,no,2,0,yes,yes,no,yes,yes,4,5,2,81.44,78,65.28,60.4,62.58
Male,21,other,other,25,no,2,2,yes,yes,no,yes,yes,3,3,3,63.2,53.17,46,49.86,53.52
Male,21,teacher,teacher,39,no,3,0,yes,yes,no,yes,yes,4,2,1,68,67,62,65.2,69.41
Male,21,health,other,38,yes,3,0,yes,no,no,yes,yes,2,4,4,74,78,72.85,66.93,69.76
Male,22,other,teacher,75,yes,3,0,no,yes,no,yes,yes,1,1,5,84.96,78.17,73.14,57.73,66.94
Male,21,other,other,20,no,2,0,yes,yes,no,yes,yes,3,3,3,78,69,50.57,47.33,57.05
Male,22,health,health,48,no,2,5,yes,yes,yes,yes,yes,2,2,5,74.88,59,58.14,59.73,54.35
Male,21,other,other,75,no,3,0,yes,no,yes,yes,yes,4,4,3,92,75,60.36,54.26,58
Male,22,services,at_home,62,no,2,0,yes,yes,yes,yes,yes,4,3,3,75,64,53.14,53.73,60.82
Male,22,services,other,15,no,4,0,no,no,yes,yes,no,5,3,5,82.24,70.12,59.42,54.26,59.64
Female,21,at_home,other,45,no,3,0,no,no,no,yes,no,3,4,5,93.2,81.33,69,74.4,69.17
Male,22,at_home,services,50,no,5,1,yes,no,yes,yes,yes,3,3,3,87.68,87.33,81.85,82,75.52
Female,21,other,other,110,no,4,0,yes,no,no,yes,yes,3,2,4,94.8,89.8,66.28,68.26,64.82
Female,23,at_home,teacher,300,no,3,0,yes,no,no,yes,yes,2,2,4,93.12,81.33,68,75.33,71.17
Female,24,at_home,services,10,no,3,0,yes,no,yes,yes,no,3,2,1,80.48,76,58.57,67.33,62.47
Female,22,at_home,at_home,45,no,4,0,yes,no,yes,yes,yes,4,2,5,74.24,75,66.15,65.6,62.47
Male,21,at_home,other,15,no,5,0,yes,no,yes,yes,yes,4,4,4,80,72,66.42,67.46,65.17
Male,21,at_home,other,0,no,2,0,yes,no,yes,yes,no,1,4,3,88,87,66.08,65.06,67.05
Male,21,at_home,other,0,no,3,1,no,no,no,yes,yes,2,2,5,90.08,89.3,65.42,71.33,64.47
Female,22,at_home,at_home,0,no,4,0,yes,no,no,yes,yes,5,1,5,88.16,74,72.14,72,69.76
Female,21,at_home,other,90,no,6,0,yes,no,yes,yes,yes,3,3,3,91,62,75.14,71.73,69.64
Female,22,at_home,other,15,no,3,0,yes,no,no,yes,yes,2,2,5,81.44,86.33,73.14,77.9,70
Female,22,at_home,teacher,100,no,1,0,yes,no,yes,yes,yes,3,3,2,91.68,91.5,79.42,72.8,67.76
Female,22,at_home,other,90,no,3,0,yes,yes,no,yes,yes,4,3,5,85,88,78.42,70,68.7
Male,21,at_home,services,0,no,8,0,yes,no,no,yes,yes,5,2,2,75.52,87.83,66.42,71.46,61.44
Female,21,at_home,other,0,no,6,0,yes,no,yes,yes,yes,4,4,4,88.64,87,56.85,64.4,43.41
Female,22,at_home,other,50,no,1,0,yes,no,no,yes,yes,2,3,3,84.16,78.16,61.85,64.8,59.05
Female,22,at_home,other,50,no,8,0,yes,no,yes,yes,no,3,2,4,64,66.7,0,0,46.82
Female,22,at_home,other,15,no,8,0,yes,no,yes,yes,yes,5,5,3,89.28,82,61.14,71.6,59.29
Female,22,other,other,40,no,2,0,yes,no,yes,yes,yes,1,3,2,88.32,79,58.42,60.93,64.58
Female,21,at_home,other,30,no,2,0,yes,no,yes,yes,yes,4,1,3,6.8,84.17,62.57,61.46,64.23
Female,21,at_home,other,40,no,2,0,yes,no,no,yes,yes,4,2,5,64,75,78.42,74.8,70.11
Female,21,at_home,other,25,no,3,0,yes,no,no,yes,yes,5,1,3,93.76,87.83,75.71,68.8,68.94
Male,22,at_home,other,20,no,2,0,yes,no,no,yes,yes,4,4,4,93.76,91.83,88.4,84.6,77.41
Female,21,at_home,services,10,no,2,1,yes,no,no,no,yes,3,2,4,65.9,65.6,60.71,60.13,54.35
Female,21,other,health,180,no,2,1,yes,yes,no,yes,yes,2,2,5,78.88,75,61.85,55.73,63.29
Female,21,at_home,other,0,no,2,0,yes,no,yes,yes,yes,2,2,4,85.12,83,69.85,73.6,63.411
Male,22,at_home,other,90,no,2,0,yes,no,yes,no,yes,2,4,3,87.89,78.5,73.28,69.06,67.64
Male,22,teacher,teacher,0,no,2,0,yes,no,yes,yes,yes,3,3,2,84.32,86.666,72,65.2,63.88
Female,21,at_home,other,45,no,2,0,yes,no,no,no,yes,4,5,3,75,70,62.21,56.66,56.47
Female,21,at_home,other,0,no,3,0,no,no,no,yes,yes,4,2,3,85,73,58.57,62.26,54.82
Male,21,at_home,other,30,yes,1,1,no,no,no,yes,yes,3,1,5,85.6,84,68.42,61.73,71.29
Female,22,teacher,other,20,yes,2,0,yes,yes,yes,yes,yes,5,2,1,86.72,78.33,61.85,68,63.17
Male,21,at_home,services,22,no,3,0,yes,no,yes,yes,yes,3,2,1,89.23,71,51.71,47.06,58.94
Female,21,at_home,other,25,no,1,0,yes,no,no,yes,yes,4,3,4,85.92,80.16,78.85,73.46,62.94
Female,22,at_home,other,10,yes,3,0,yes,no,yes,yes,no,5,1,3,85.6,80,54.71,47.6,54.7
Female,21,services,services,180,yes,2,0,yes,no,yes,yes,yes,4,3,5,75,76,61.85,54.4,62.47
Female,21,at_home,other,0,no,1,0,yes,no,no,yes,yes,4,3,3,75.04,78.16,66,52.4,51.88
Female,21,at_home,other,90,no,1,0,yes,no,yes,yes,yes,3,2,3,83.68,68.33,58.71,56.26,55.17
Female,23,at_home,other,0,no,2,0,yes,no,yes,yes,no,3,1,2,92.32,87.66,80.42,80.4,72.82
Female,22,at_home,other,45,no,1,3,yes,no,no,yes,yes,3,3,3,81,68,54.28,48.133,47.17
Male,22,at_home,other,0,no,2,2,yes,no,yes,yes,yes,4,3,5,76.96,81.83,74,68.26,70.23
Female,21,at_home,other,30,no,2,0,yes,no,yes,yes,yes,3,3,5,77,71,70.42,64.13,67.17
Male,21,teacher,other,20,no,3,2,yes,no,yes,yes,yes,4,1,3,76.58,80.33,40.57,45.6,52.11
Female,21,at_home,other,22,no,1,0,yes,no,yes,yes,yes,3,3,5,82,78,68.71,64,61.05
Female,22,at_home,other,25,no,1,0,yes,no,yes,yes,yes,2,2,5,88.48,77.83,67.85,71.86,66.94
Male,22,at_home,other,20,no,1,0,yes,no,yes,yes,yes,3,5,3,79.52,70.83,59.57,66.26,58.7
Female,21,other,other,10,no,2,0,yes,no,yes,yes,yes,2,2,2,81.28,87,74.14,70,68.82
Female,22,health,other,180,no,2,0,yes,no,yes,yes,no,3,3,3,83.6,78.3,61.85,65.33,56.82
Male,22,at_home,other,98,no,2,0,yes,no,yes,yes,yes,4,4,2,83.2,77.66,65.42,65.73,63.52
Female,23,at_home,other,75,no,2,2,yes,no,no,yes,yes,3,3,4,73.65,76.85,54.14,54.13,48.11
Male,22,teacher,at_home,65,no,2,1,yes,no,yes,yes,yes,3,3,5,68.36,73.5,51,50.93,44.94
Female,21,at_home,other,25,no,5,0,yes,no,no,yes,no,5,5,3,78.45,80.5,79.42,75.6,67.41
Female,21,at_home,other,23,yes,2,0,yes,no,yes,yes,yes,3,4,4,90.4,68.83,59.85,56,65.05
Female,22,at_home,other,54,yes,3,2,yes,no,yes,yes,yes,3,4,4,84.32,56,47.42,52.66,51.64
Male,21,at_home,other,47,yes,4,0,yes,no,yes,yes,yes,3,4,1,76,73,60.71,60.13,51.29
Female,22,at_home,other,87,yes,6,0,yes,no,yes,yes,yes,3,2,5,71.64,72.5,62.71,61.46,54.94
Female,21,at_home,other,41,yes,3,3,yes,yes,yes,yes,no,2,2,4,82,72,67.14,60.13,51.1
Female,22,at_home,at_home,51,no,1,0,yes,no,yes,yes,yes,3,2,3,94.01,81,83.14,80.8,77.76
Male,21,at_home,other,47,no,3,3,yes,no,yes,yes,yes,2,3,5,81.12,79,80.57,67.86,68.82
Female,21,at_home,other,100,no,8,0,yes,no,yes,yes,no,4,4,5,88.48,83.16,76,75.46,69.76
Female,21,at_home,services,0,no,6,0,yes,no,yes,yes,yes,5,5,3,87,75,64.71,60.4,51.64
Female,21,at_home,other,105,yes,1,3,yes,no,no,yes,yes,4,3,5,90.56,73,60.85,60.55,54.58
Male,21,teacher,services,42,no,8,3,yes,no,yes,yes,yes,4,4,2,67,45,69,70,62
Male,21,at_home,other,57,yes,8,1,yes,no,yes,yes,yes,4,4,5,77,60,64.36,59.321,40
Female,22,at_home,other,40,no,2,2,yes,no,yes,yes,yes,4,3,2,64,68,56,50,49
Male,21,at_home,other,60,no,2,3,yes,no,yes,yes,yes,3,3,4,75,70,28,26,65
Female,21,at_home,other,33,no,2,0,yes,no,yes,yes,yes,3,3,3,79.52,59,58,56,52
Female,22,at_home,other,82,yes,3,0,yes,no,yes,yes,yes,1,3,4,92,79.81,50,58,42
Female,21,teacher,other,63,yes,2,0,yes,no,yes,yes,yes,4,2,3,86.4,75.2,60.7,67.14,55.76
Female,21,at_home,other,100,no,2,3,yes,no,yes,yes,yes,3,2,2,79.89,84.5,74.42,67.73,65.64
Male,22,other,other,20,no,2,0,yes,no,no,yes,yes,3,3,3,83.84,70.92,52.58,63.5,42.11
Female,22,at_home,other,54,no,2,1,yes,yes,no,yes,yes,3,4,5,86.4,87,74.35,81.87,66
Female,22,teacher,other,10,yes,2,2,yes,no,yes,yes,yes,3,2,3,71,75,60,63.5,49.49
Male,22,at_home,other,12,yes,2,2,yes,no,yes,yes,yes,3,3,4,86.4,75.2,60.7,67.14,55.76
Female,21,teacher,teacher,15,yes,2,1,yes,no,yes,yes,yes,3,3,4,79.89,84.5,74.42,67.73,65.64
Female,21,at_home,teacher,24,no,3,0,yes,no,yes,yes,no,4,3,5,64,66,78.14,66.4,64.35
Female,21,at_home,other,32,yes,1,3,yes,no,no,yes,yes,2,3,4,88,87.33,72.85,66.26,61.04
Female,22,at_home,other,10,no,2,1,yes,no,no,yes,yes,5,1,3,87.04,76.33,68.47,63.33,60.58
Female,21,other,other,34,no,3,0,yes,no,no,no,no,4,3,2,91,76,74.71,56,60.48
Female,22,at_home,other,38,no,1,0,yes,no,yes,yes,yes,2,2,3,68.7,80.01,65.14,67.6,67.88
Female,21,at_home,other,37,no,3,0,yes,no,no,yes,yes,3,2,3,88.48,85,88.57,79.86,81.05
Female,22,teacher,other,42,no,2,0,yes,no,no,yes,no,4,4,5,73,70,69.14,57.86,57.88
Male,22,at_home,other,40,no,1,2,yes,no,no,yes,yes,3,3,1,79.66,72,72.57,66.4,72.35
Female,21,at_home,other,10,no,1,0,yes,no,yes,yes,yes,3,2,1,83.84,86.33,64.85,58,45.05
Male,21,at_home,other,12,no,2,0,yes,no,yes,yes,yes,4,4,4,88.48,75,67.85,59.2,55.05
Female,21,at_home,other,33,no,1,3,yes,no,yes,yes,yes,3,4,3,84.8,88.8,78.3,73.66,69.04
